code,nom,marque,programme_marketing,genre,technique,niveau_source,niveau,usage_cible,style_classique_cible,distance_competition_cible,tailles_dispo,size_136,size_143,size_153,size_163,size_168,size_173,size_174,size_178,size_180,size_181,size_183,size_186,size_187,size_188,size_190,size_192,size_193,size_197,size_202,size_207,glisse_max,accroche_classique,maniabilite,stabilite,tolerance,rigidite,nervosite,renvoi_dynamique,sensation_facile,sensation_dynamique,sensation_rigide,sensation_stable_haute_vitesse,sensation_polyvalent,neige_froide,neige_polyvalente,neige_humide,plaisir,confort,progression_technique,performance_chrono,podium_competition,notes
RDI9520,FT-600 CORK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDI9530,FT-600,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDI9540,FT-500,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDI9560,XC-RENTAL SR,Rossignol,A06 - FLEET RENTAL,Mixte,Classique,,Débutant,Initiation,,,"120,125,130,135,140,145,150,155,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDL9550,ADJUSTABLE BC 100,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,,,0TU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDM9530,FORCE,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDN9540,FT-600 CORK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDN9550,FT-600,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDN9570,FT-500,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,,,"125,130,135,140,145,150,155,160,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDN9580,FORCE 7,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"135,140,145,150,155,160,165,170,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDO9500,FORCE 5,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"135,140,145,150,155,160,165,170,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDO9510,FORCE 3,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"135,140,145,150,155,160,165,170,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDP9500,WCS PREMIUM - FREE SIZES,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"150,160,170,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDP9520,WCS - FREE SIZES,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"150,160,170,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDP9530,FORCE 9,Rossignol,A01 - RACE,Mixte,Classique,,Compétiteur,Course,,,"135,140,145,150,155,160,165,170,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHLWC01,BC 80 POSITRACK - BC AUTO,Rossignol,A03 - FREE,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"166,176,186,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHLWC02,BC 65 POSITRACK - BC AUTO,Rossignol,A03 - FREE,Mixte,Classique,Confirmé,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RHLZD02,BC 65 POSITRACK,Rossignol,A03 - FREE,Mixte,Classique,Confirmé,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RHLZD03,EVO OT 65 POSITRACK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZA01,X-TOUR ESCAPE R-SKIN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,"176,186,191,196,201,206",,,,,,,,50-60,,,,55-65,,,,60-70,,65-75,70-80,75-85+,,,,,,,,,,,,,,,,,,,,,,
RHMZA04,X-TOUR ESCAPE POSITRACK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,"176,186,191,196,201,206",,,,,,,,50-60,,,,55-65,,,,60-70,,65-75,70-80,75-85+,,,,,,,,,,,,,,,,,,,,,,
RHMZA05,X-TOUR VENTURE WAXLESS,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,"176,186,191,196,201,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZB01,EVO XC 55 R-SKIN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,Intermédiaire,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZB02,EVO XT 55 POSITRACK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZC01,EVO XC 60 R-SKIN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZC02,EVO XT 60 POSITRACK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZC03,EVO OT 60 POSITRACK IFP,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZD01,EVO XC 65 R-SKIN,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZD02,EVO XT 65 POSITRACK,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHMZD03,EVO OT 65 POSITRACK IFP,Rossignol,A02 - ALL MOUNTAIN,Mixte,Classique,,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCP01,DELTA COURSE R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,Confirmé,Débutant,Initiation,Alternatif + double poussée,,"176,186,191,198,203,208",,,,,,,,40-50,,,,45-60,,,,55-65,,65-80,65-80,80-95,,,,,,,,,,,,,,,,,,,,,,
RHOCP02,DELTA COMP R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,Confirmé,Débutant,Initiation,Alternatif + double poussée,,"176,186,191,198,203,208",,,,,,,,40-50,,,,45-60,,,,55-65,,65-80,65-80,80-95,,,,,,,,,,,,,,,,,,,,,,
RHOCQ01,DELTA COURSE SKATING,Rossignol,A01 - RACE,Mixte,Skating,Confirmé,Débutant,Initiation,,,"173,180,186,192",,,,,,45-60,,,55-70,,,65-85,,,,80-95+,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCQ02,DELTA COMP SKATING,Rossignol,A01 - RACE,Mixte,Skating,Confirmé,Débutant,Initiation,,,"173,180,186,192",,,,,,45-60,,,55-70,,,65-85,,,,80-95+,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCQ03,DELTA SPORT SKATING,Rossignol,A01 - RACE,Mixte,Skating,Confirmé,Débutant,Initiation,,,"163,173,180,186,192",,,,35-50,,45-60,,,55-70,,,65-85,,,,80-95+,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCV01,DELTA COURSE R-SKIN STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Débutant,Initiation,Alternatif + double poussée,,"176,186,191,198,203,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCV02,DELTA COMP R-SKIN STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Débutant,Initiation,Alternatif + double poussée,,"176,186,191,198,203,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCW01,DELTA SPORT CLASSIC,Rossignol,A01 - RACE,Mixte,Classique,,Débutant,Initiation,,,"184,189,196,201,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOCW02,DELTA SPORT R-SKIN,Rossignol,A01 - RACE,Mixte,Classique,Confirmé,Débutant,Initiation,Alternatif + double poussée,,"184,189,196,201,206",,,,,,,,,,,45-60,,,50-65,,,,60-75,65-80,80-95,,,,,,,,,,,,,,,,,,,,,,
RHOCX01,DELTA SPORT R-SKIN STIFF,Rossignol,A01 - RACE,Mixte,Classique,,Débutant,Initiation,Alternatif + double poussée,,"184,189,196,201,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOYC01,ULTRA SKATING,Rossignol,A01 - RACE,U,Skating,Confirmé,Confirmé,Performance,,,"168,174,181,187",,,,,TBD,,TBD,,,TBD,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHOZI01,XP 85 POSITRACK,Rossignol,A03 - FREE,U,Classique,Confirmé,Intermédiaire,Plaisir,Alternatif + double poussée,,"165,175,185,195",,,,,40-60,,50-70,,,,,60-80,,,,,80+,,,,,,,,,,,,,,,,,,,,,,,,,
RHOZI02,XP 85 POSI - XPLORE -PREMOUNT,Rossignol,A03 - FREE,U,Classique,,Intermédiaire,Plaisir,,,"165,175,185,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
